404,55,in,91 BSNL
404,66,in,91 BSNL
404,72,in,91 BSNL
404,77,in,91 BSNL
404,54,in,91 BSNL
404,64,in,91 BSNL
404,71,in,91 BSNL
404,76,in,91 BSNL
404,53,in,91 BSNL
404,62,in,91 BSNL
404,59,in,91 BSNL
404,75,in,91 BSNL
404,51,in,91 BSNL
404,81,in,91 BSNL
404,58,in,91 BSNL
404,74,in,91 BSNL
404,38,in,91 BSNL
404,10,in,91 Bharti Airtel Limited (Delhi)
404,79,in,91 CellOne A&N
404,88,in,91 Escorts Telecom Ltd.
404,87,in,91 Escorts Telecom Ltd.
404,82,in,91 Escorts Telecom Ltd.
404,89,in,91 Escorts Telecom Ltd.
404,12,in,91 Escotel Mobile Communications
404,19,in,91 Escotel Mobile Communications
404,56,in,91 Escotel Mobile Communications
405,05,in,91 Fascel Limited
404,05,in,91 Fascel
404,70,in,91 Hexacom India
404,16,in,91 Hexcom India
404,24,in,91 Idea Cellular Ltd.
404,22,in,91 Idea Cellular Ltd.
404,78,in,91 Idea Cellular Ltd.
404,07,in,91 Idea Cellular Ltd.
404,04,in,91 Idea Cellular Ltd.
404,69,in,91 Mahanagar Telephone Nigam
404,68,in,91 Mahanagar Telephone Nigam
404,83,in,91 Reliable Internet Services
404,36,in,91 Reliance Telecom Private
404,52,in,91 Reliance Telecom Private
404,50,in,91 Reliance Telecom Private
404,67,in,91 Reliance Telecom Private
404,18,in,91 Reliance Telecom Private
404,85,in,91 Reliance Telecom Private
404,09,in,91 Reliance Telecom Private
404,41,in,91 RPG Cellular
404,14,in,91 Spice
404,44,in,91 Spice
404,11,in,91 Sterling Cellular Ltd.
404,30,in,91 Usha Martin Telecom
510,08,id,62 Axis/Natrindo
510,99,id,62 Esia (PT Bakrie Telecom) (CDMA)
510,07,id,62 Flexi (PT Telkom) (CDMA)
510,89,id,62 H3G CP
510,21,id,62 Indosat/Satelindo/M3
510,01,id,62 Indosat/Satelindo/M3
510,00,id,62 PT Pasifik Satelit Nusantara (PSN)
510,27,id,62 PT Sampoerna Telekomunikasi Indonesia (STI)
510,28,id,62 PT Smartfren Telecom Tbk
510,09,id,62 PT Smartfren Telecom Tbk
510,11,id,62 PT. Excelcom
510,10,id,62 Telkomsel
432,19,ir,98 Mobile Telecommunications Company of Esfahan JV-PJS (MTCE)
432,70,ir,98 MTCE
432,35,ir,98 MTN/IranCell
432,20,ir,98 Rightel
432,32,ir,98 Taliya
432,11,ir,98 MCI/TCI
432,14,ir,98 TKC/KFZO
418,05,iq,964 Asia Cell
418,92,iq,964 Itisaluna and Kalemat
418,82,iq,964 Korek
418,40,iq,964 Korek
418,45,iq,964 Mobitel (Iraq-Kurdistan) and Moutiny
418,30,iq,964 Orascom Telecom
418,20,iq,964 ZAIN/Atheer/Orascom
418,08,iq,964 Sanatel
272,04,ie,353 Access Telecom Ltd.
272,09,ie,353 Clever Communications Ltd
272,07,ie,353 eircom Ltd
272,05,ie,353 Three/H3G
272,11,ie,353 Liffey Telecom
272,13,ie,353 Lycamobile
272,03,ie,353 Meteor Mobile Ltd.
272,02,ie,353 Three/O2/Digifone
272,01,ie,353 Vodafone Eircell
425,14,il,972 Alon Cellular Ltd
425,02,il,972 Cellcom ltd.
425,08,il,972 Golan Telekom
425,15,il,972 Home Cellular Ltd
425,77,il,972 Hot Mobile/Mirs
425,07,il,972 Hot Mobile/Mirs
425,01,il,972 Orange/Partner Co. Ltd.
425,03,il,972 Pelephone
425,16,il,972 Rami Levy Hashikma Marketing Communications Ltd
425,19,il,972 Telzar/AZI
222,34,it,39 BT Italia SpA
222,02,it,39 Elsacom
222,08,it,39 Fastweb SpA
222,00,it,39 Fix Line
222,99,it,39 Hi3G
222,77,it,39 IPSE 2000
222,35,it,39 Lycamobile Srl
222,07,it,39 Noverca Italia Srl
222,00,it,39 Premium Number(s)
222,30,it,39 RFI Rete Ferroviaria Italiana SpA
222,48,it,39 Telecom Italia Mobile SpA
222,43,it,39 Telecom Italia Mobile SpA
222,01,it,39 TIM
222,10,it,39 Vodafone
222,06,it,39 Vodafone
222,00,it,39 VOIP Line
222,44,it,39 WIND (Blu) -
222,88,it,39 WIND (Blu) -
612,07,ci,225 Aircomm SA
612,02,ci,225 Atlantik Tel./Moov
612,04,ci,225 Comium
612,01,ci,225 Comstar
612,05,ci,225 MTN
612,03,ci,225 Orange
612,06,ci,225 OriCell
440,00,jp,81 Y-Mobile
440,72,jp,81 KDDI Corporation
440,54,jp,81 KDDI Corporation
440,79,jp,81 KDDI Corporation
440,07,jp,81 KDDI Corporation
440,73,jp,81 KDDI Corporation
440,55,jp,81 KDDI Corporation
440,88,jp,81 KDDI Corporation
440,50,jp,81 KDDI Corporation
440,74,jp,81 KDDI Corporation
440,70,jp,81 KDDI Corporation
440,89,jp,81 KDDI Corporation
440,51,jp,81 KDDI Corporation
440,75,jp,81 KDDI Corporation
440,56,jp,81 KDDI Corporation
441,70,jp,81 KDDI Corporation
440,52,jp,81 KDDI Corporation
440,76,jp,81 KDDI Corporation
440,71,jp,81 KDDI Corporation
440,53,jp,81 KDDI Corporation
440,77,jp,81 KDDI Corporation
440,08,jp,81 KDDI Corporation
441,45,jp,81 NTT Docomo
440,24,jp,81 NTT Docomo
440,15,jp,81 NTT Docomo
441,98,jp,81 NTT Docomo
441,42,jp,81 NTT Docomo
440,68,jp,81 NTT Docomo
440,38,jp,81 NTT Docomo
440,26,jp,81 NTT Docomo
440,11,jp,81 NTT Docomo
440,63,jp,81 NTT Docomo
440,21,jp,81 NTT Docomo
441,44,jp,81 NTT Docomo
440,13,jp,81 NTT Docomo
440,23,jp,81 NTT Docomo
440,01,jp,81 NTT Docomo
440,16,jp,81 NTT Docomo
441,99,jp,81 NTT Docomo
440,34,jp,81 NTT Docomo
440,69,jp,81 NTT Docomo
440,37,jp,81 NTT Docomo
440,25,jp,81 NTT Docomo
440,64,jp,81 NTT Docomo
440,22,jp,81 NTT Docomo
441,43,jp,81 NTT Docomo
440,27,jp,81 NTT Docomo
440,02,jp,81 NTT Docomo
440,17,jp,81 NTT Docomo
440,31,jp,81 NTT Docomo
440,87,jp,81 NTT Docomo
440,36,jp,81 NTT Docomo
441,92,jp,81 NTT Docomo
440,65,jp,81 NTT Docomo
440,12,jp,81 NTT Docomo
440,58,jp,81 NTT Docomo
440,28,jp,81 NTT Docomo
440,03,jp,81 NTT Docomo
440,18,jp,81 NTT Docomo
441,91,jp,81 NTT Docomo
440,32,jp,81 NTT Docomo
440,61,jp,81 NTT Docomo
440,35,jp,81 NTT Docomo
441,93,jp,81 NTT Docomo
441,40,jp,81 NTT Docomo
440,66,jp,81 NTT Docomo
440,49,jp,81 NTT Docomo
440,29,jp,81 NTT Docomo
440,09,jp,81 NTT Docomo
440,19,jp,81 NTT Docomo
441,90,jp,81 NTT Docomo
440,33,jp,81 NTT Docomo
440,60,jp,81 NTT Docomo
440,14,jp,81 NTT Docomo
441,94,jp,81 NTT Docomo
441,41,jp,81 NTT Docomo
440,67,jp,81 NTT Docomo
440,39,jp,81 NTT Docomo
440,30,jp,81 NTT Docomo
440,10,jp,81 NTT Docomo
440,62,jp,81 NTT Docomo
440,99,jp,81 NTT Docomo
440,78,jp,81 Okinawa Cellular Telephone
440,45,jp,81 SoftBank Mobile Corp
440,20,jp,81 SoftBank Mobile Corp
440,96,jp,81 SoftBank Mobile Corp
440,40,jp,81 SoftBank Mobile Corp
441,63,jp,81 SoftBank Mobile Corp
440,47,jp,81 SoftBank Mobile Corp
440,95,jp,81 SoftBank Mobile Corp
440,41,jp,81 SoftBank Mobile Corp
441,64,jp,81 SoftBank Mobile Corp
440,97,jp,81 SoftBank Mobile Corp
440,46,jp,81 SoftBank Mobile Corp
440,42,jp,81 SoftBank Mobile Corp
441,65,jp,81 SoftBank Mobile Corp
440,90,jp,81 SoftBank Mobile Corp
440,98,jp,81 SoftBank Mobile Corp
440,92,jp,81 SoftBank Mobile Corp
440,43,jp,81 SoftBank Mobile Corp
440,93,jp,81 SoftBank Mobile Corp
440,48,jp,81 SoftBank Mobile Corp
441,61,jp,81 SoftBank Mobile Corp
440,06,jp,81 SoftBank Mobile Corp
440,44,jp,81 SoftBank Mobile Corp
440,94,jp,81 SoftBank Mobile Corp
440,04,jp,81 SoftBank Mobile Corp
441,62,jp,81 SoftBank Mobile Corp
440,85,jp,81 KDDI Corporation
440,83,jp,81 KDDI Corporation
440,86,jp,81 KDDI Corporation
440,81,jp,81 KDDI Corporation
440,80,jp,81 KDDI Corporation
440,84,jp,81 KDDI Corporation
440,82,jp,81 KDDI Corporation
416,77,jo,962 Orange/Petra
416,03,jo,962 Umniah Mobile Co.
416,02,jo,962 Xpress
416,01,jo,962 ZAIN /J.M.T.S
401,01,kz,7 Beeline/KaR-Tel LLP
401,07,kz,7 Dalacom/Altel
401,02,kz,7 K-Cell
401,77,kz,7 Tele2/NEO/MTS
639,05,ke,254 Econet Wireless
639,07,ke,254 Orange
639,02,ke,254 Safaricom Ltd.
639,03,ke,254 Airtel/Zain/Celtel Ltd.
545,09,ki,686 Kiribati Frigate
450,02,kr,82 KT Freetel Co. Ltd.
450,04,kr,82 KT Freetel Co. Ltd.
450,08,kr,82 KT Freetel Co. Ltd.
450,06,kr,82 LG Telecom
450,03,kr,82 SK Telecom
450,05,kr,82 SK Telecom Co. Ltd
419,04,kw,965 Viva
419,03,kw,965 Wataniya
419,02,kw,965 Zain
437,03,kg,996 AkTel LLC
437,01,kg,996 Beeline/Bitel
437,05,kg,996 MEGACOM
437,09,kg,996 O!/NUR Telecom
457,02,la,856 ETL Mobile
457,01,la,856 Lao Tel
457,08,la,856 Beeline/Tigo/Millicom
457,03,la,856 UNITEL/LAT
247,05,lv,371 Bite
247,01,lv,371 Latvian Mobile Phone
247,09,lv,371 SIA Camel Mobile
247,08,lv,371 SIA IZZI
247,07,lv,371 SIA Master Telecom
247,06,lv,371 SIA Rigatta
247,02,lv,371 Tele2
247,03,lv,371 TRIATEL/Telekom Baltija
415,35,lb,961 Cellis
415,33,lb,961 Cellis
415,32,lb,961 Cellis
415,34,lb,961 FTML Cellis
415,39,lb,961 MIC2/LibanCell/MTC
415,38,lb,961 MIC2/LibanCell/MTC
415,37,lb,961 MIC2/LibanCell/MTC
415,01,lb,961 MIC1 (Alfa)
415,03,lb,961 MIC2/LibanCell/MTC
415,36,lb,961 MIC2/LibanCell/MTC
651,02,ls,266 Econet/Ezi-cel
651,01,ls,266 Vodacom Lesotho
618,07,lr,231 CELLCOM
618,04,lr,231 Comium BVI
618,02,lr,231 Libercell
618,20,lr,231 LibTelco
618,01,lr,231 Lonestar
606,02,ly,218 Al-Madar
606,01,ly,218 Al-Madar
606,06,ly,218 Hatef
606,00,ly,218 Libyana
606,03,ly,218 Libyana
295,06,li,423 CUBIC (Liechtenstein
295,07,li,423 First Mobile AG
295,02,li,423 Orange
295,01,li,423 Swisscom FL AG
295,77,li,423 Alpmobile/Tele2
295,05,li,423 Telecom FL1 AG
246,02,lt,370 Bite
246,01,lt,370 Omnitel
246,03,lt,370 Tele2
270,77,lu,352 Millicom Tango GSM
270,01,lu,352 P+T/Post LUXGSM
270,99,lu,352 Orange/VOXmobile S.A.
455,01,mo,853 C.T.M. TELEMOVEL+
455,04,mo,853 C.T.M. TELEMOVEL+
455,02,mo,853 China Telecom
455,05,mo,853 Hutchison Telephone Co. Ltd
455,03,mo,853 Hutchison Telephone Co. Ltd
455,00,mo,853 Smartone Mobile
455,06,mo,853 Smartone Mobile
294,75,mk,389 ONE/Cosmofone
294,02,mk,389 ONE/Cosmofone
294,01,mk,389 T-Mobile/Mobimak
294,03,mk,389 VIP Mobile
646,01,mg,261 Airtel/MADACOM
646,02,mg,261 Orange/Soci
646,03,mg,261 Sacel
646,04,mg,261 Telma
650,01,mw,265 TNM/Telekom Network Ltd.
650,10,mw,265 Airtel/Zain/Celtel ltd.
502,01,my,60 Art900
502,19,my,60 CelCom
502,13,my,60 CelCom
502,10,my,60 Digi Telecommunications
502,16,my,60 Digi Telecommunications
502,20,my,60 Electcoms Wireless Sdn Bhd
502,17,my,60 Maxis
502,12,my,60 Maxis
502,11,my,60 MTX Utara
502,18,my,60 U Mobile
472,01,mv,960 Dhiraagu/C&W
472,02,mv,960 Ooredo/Wataniya
610,01,ml,223 Malitel
610,02,ml,223 Orange/IKATEL
278,21,mt,356 GO/Mobisle
278,77,mt,356 Melita
278,01,mt,356 Vodafone
340,12,mq,596 UTS Caraibe
609,02,mr,222 Chinguitel SA
609,01,mr,222 Mattel
609,10,mr,222 Mauritel
617,10,mu,230 Emtel Ltd
617,02,mu,230 Mahanagar Telephone
617,03,mu,230 Mahanagar Telephone
617,01,mu,230 Orange/Cellplus
334,50,mx,52 IUSACell/UneFon
334,04,mx,52 IUSACell/UneFon
334,03,mx,52 Movistar/Pegaso
334,01,mx,52 NEXTEL
334,09,mx,52 NEXTEL
334,02,mx,52 TelCel/America Movil
550,01,fm,691 FSM Telecom
259,04,md,373 Eventis Mobile
259,99,md,373 IDC/Unite
259,05,md,373 IDC/Unite
259,03,md,373 IDC/Unite
259,02,md,373 Moldcell
259,01,md,373 Orange/Voxtel
212,10,mc,377 Monaco Telecom
212,01,mc,377 Monaco Telecom
428,98,mn,976 G-Mobile Corporation Ltd
428,99,mn,976 Mobicom
428,00,mn,976 Skytel Co. Ltd
428,88,mn,976 Unitel
297,02,me,382 Monet/T-mobile
297,03,me,382 Mtel
297,01,me,382 Telenor/Promonte GSM
604,01,ma,212 IAM/Itissallat
604,02,ma,212 INWI/WANA
604,00,ma,212 Medi Telecom
643,01,mz,258 mCel
643,03,mz,258 Movitel
643,04,mz,258 Vodacom
414,01,mm,95 Myanmar Post & Teleco.
414,05,mm,95 Oreedoo
414,06,mm,95 Telenor
649,03,na,264 Leo / Orascom
649,01,na,264 MTC
649,02,na,264 Switch/Nam. Telec.
429,02,np,977 Ncell
429,01,np,977 NT Mobile / Namaste
429,04,np,977 Smart Cell
204,14,nl,31 6GMOBILE BV
204,23,nl,31 Aspider Solutions
204,05,nl,31 Elephant Talk Communications Premium Rate Services Netherlands BV
204,17,nl,31 Intercity Mobile Communications BV
204,10,nl,31 KPN Telecom B.V.
204,08,nl,31 KPN Telecom B.V.
204,69,nl,31 KPN Telecom B.V.
204,12,nl,31 KPN/Telfort
204,28,nl,31 Lancelot BV
204,09,nl,31 Lycamobile Ltd
204,06,nl,31 Mundio/Vectone Mobile
204,21,nl,31 NS Railinfrabeheer B.V.
204,24,nl,31 Private Mobility Nederland BV
204,98,nl,31 T-Mobile B.V.
204,16,nl,31 T-Mobile B.V.
204,20,nl,31 T-mobile/former Orange
204,02,nl,31 Tele2
204,07,nl,31 Teleena Holding BV
204,68,nl,31 Unify Mobile
204,18,nl,31 UPC Nederland BV
204,04,nl,31 Vodafone Libertel
204,03,nl,31 Voiceworks Mobile BV
204,15,nl,31 Ziggo BV
362,51,an,599 TELCELL GSM
362,91,an,599 SETEL GSM
546,01,nc,687 OPT Mobilis
530,28,nz,64 2degrees
530,05,nz,64 NZ Telecom CDMA
530,02,nz,64 NZ Telecom CDMA
530,04,nz,64 Telstra
530,24,nz,64 Two Degrees Mobile Ltd
530,01,nz,64 Vodafone
530,03,nz,64 Walker Wireless Ltd.
710,21,ni,505 Empresa Nicaraguense de Telecomunicaciones SA (ENITEL)
710,30,ni,505 Movistar
710,73,ni,505 Claro
614,03,ne,227 MOOV/TeleCel
614,04,ne,227 Orange/Sahelc.
614,01,ne,227 Orange/Sahelc.
614,02,ne,227 Airtel/Zain/CelTel
621,20,ng,234 Airtel/ZAIN/Econet
621,60,ng,234 ETISALAT
621,50,ng,234 Glo Mobile
621,40,ng,234 M-Tel/Nigeria Telecom. Ltd.
621,30,ng,234 MTN
621,99,ng,234 Starcomms
621,01,ng,234 Visafone
621,25,ng,234 Visafone
555,01,nu,683 Niue Telecom
242,09,no,47 Com4 AS
242,20,no,47 Jernbaneverket (GSM-R)
242,21,no,47 Jernbaneverket (GSM-R)
242,23,no,47 Lycamobile Ltd
242,02,no,47 Netcom
242,22,no,47 Network Norway AS
242,05,no,47 Network Norway AS
242,06,no,47 ICE Nordisk Mobiltelefon AS
242,08,no,47 TDC Mobil A/S
242,04,no,47 Tele2
242,12,no,47 Telenor
242,01,no,47 Telenor
242,03,no,47 Teletopia
242,07,no,47 Ventelo AS
422,03,om,968 Nawras
422,02,om,968 Oman Mobile/GTO
410,08,pk,92 Instaphone
410,01,pk,92 Mobilink
410,06,pk,92 Telenor
410,03,pk,92 UFONE/PAKTel
410,07,pk,92 Warid Telecom
410,04,pk,92 ZONG/CMPak
552,80,pw,680 Palau Mobile Corp. (PMC) (Palau
552,01,pw,680 Palau National Communications Corp. (PNCC) (Palau
425,05,ps,970 Jawwal
425,06,ps,970 Wataniya Mobile
714,01,pa,507 Cable & W./Mas Movil
714,03,pa,507 Claro
714,04,pa,507 Digicel
714,020,paPanama 507 Movistar
714,02,pa,507 Movistar
537,03,pg,New Guinea 675 Digicel
537,02,pg,New Guinea 675 GreenCom PNG Ltd
537,01,pg,New Guinea 675 Pacific Mobile
744,02,py,595 Claro/Hutchison
744,03,py,595 Compa
744,01,py,595 Hola/VOX
744,05,py,595 TIM/Nucleo/Personal
744,04,py,595 Tigo/Telecel
716,20,pe,51 Claro /Amer.Mov./TIM
716,10,pe,51 Claro /Amer.Mov./TIM
716,02,pe,51 GlobalStar
716,01,pe,51 GlobalStar
716,06,pe,51 Movistar
716,17,pe,51 Nextel
716,07,pe,51 Nextel
716,15,pe,51 Viettel Mobile
515,00,ph,63 Fix Line
515,02,ph,63 Globe Telecom
515,01,ph,63 Globe Telecom
515,88,ph,63 Next Mobile
515,18,ph,63 RED Mobile/Cure
515,03,ph,63 Smart
515,05,ph,63 SUN/Digitel
260,17,pl,48 Aero2 SP.
260,18,pl,48 AMD Telecom.
260,38,pl,48 CallFreedom Sp. z o.o.
260,12,pl,48 Cyfrowy POLSAT S.A.
260,08,pl,48 e-Telko
260,09,pl,48 Lycamobile
260,16,pl,48 Mobyland
260,36,pl,48 Mundio Mobile Sp. z o.o.
260,07,pl,48 Play/P4
260,11,pl,48 NORDISK Polska
260,03,pl,48 Orange/IDEA/Centertel
260,05,pl,48 Orange/IDEA/Centertel
260,35,pl,48 PKP Polskie Linie Kolejowe S.A.
260,06,pl,48 Play/P4
260,98,pl,48 Play/P4
260,01,pl,48 Polkomtel/Plus
260,14,pl,48 Sferia
260,13,pl,48 Sferia
260,10,pl,48 Sferia
260,34,pl,48 T-Mobile/ERA
260,02,pl,48 T-Mobile/ERA
260,15,pl,48 Tele2
260,04,pl,48 Tele2
268,04,pt,351 CTT - Correios de Portugal SA
268,07,pt,351 NOS/Optimus
268,03,pt,351 NOS/Optimus
268,06,pt,351 MEO/TMN
268,01,pt,351 Vodafone
330,11,pr,Puerto Rico Telephone Company Inc. (PRTC)
427,01,qa,974 Ooredoo/Qtel
427,02,qa,974 Vodafone
647,00,re,262 Orange
647,02,re,262 Outremer Telecom
647,10,re,262 SFR
226,03,ro,40 Cosmote
226,11,ro,40 Enigma Systems
226,10,ro,40 Orange
226,05,ro,40 RCS&RDS Digi Mobile
226,02,ro,40 Romtelecom SA
226,06,ro,40 Telemobil/Zapp
226,01,ro,40 Vodafone
226,04,ro,40 Telemobil/Zapp
250,12,ru,79 Baykal Westcom
250,28,ru,79 BeeLine/VimpelCom
250,10,ru,79 DTC/Don Telecom
250,13,ru,79 Kuban GSM
250,35,ru,79 MOTIV/LLC Ekaterinburg-2000
250,02,ru,79 Megafon
250,01,ru,79 MTS
250,03,ru,79 NCC
250,16,ru,79 NTC
250,19,ru,79 OJSC Altaysvyaz
250,11,ru,79 Orensot
250,92,ru,79 Printelefone
250,04,ru,79 Sibchallenge
250,44,ru,79 StavTelesot
250,20,ru,79 Tele2/ECC/Volgogr.
250,93,ru,79 Telecom XXL
250,39,ru,79 UralTel
250,17,ru,79 UralTel
250,99,ru,79 BeeLine/VimpelCom
250,05,ru,79 Yenisey Telecom
250,15,ru,79 ZAO SMARTS
250,07,ru,79 ZAO SMARTS
635,14,rw,250 Airtel
635,10,rw,250 MTN/Rwandacell
635,13,rw,250 TIGO
356,50,kn,1869 Digicel
356,70,kn,1869 UTS Cariglobe
358,30,lc,1758 Cingular Wireless
358,50,lc,1758 Digicel (St Lucia) Limited
549,27,ws,685 Samoatel Mobile
549,01,ws,685 Telecom Samoa Cellular Ltd.
292,01,sm,378 Prima Telecom
626,01,st,239 CSTmovel
901,14,Sa,tellite Networks 870 AeroMobile
901,11,Sa,tellite Networks 870 InMarSAT
901,12,Sa,tellite Networks 870 Maritime Communications Partner AS
901,05,Sa,tellite Networks 870 Thuraya Satellite
420,07,sa,966 Zain
420,03,sa,966 Etihad/Etisalat/Mobily
420,01,sa,966 STC/Al Jawal
420,05,sa,966 Virgin Mobile
420,04,sa,966 Zain
608,03,sn,221 Expresso/Sudatel
608,01,sn,221 Orange/Sonatel
608,02,sn,221 TIGO/Sentel GSM
220,03,rs,381 MTS/Telekom Srbija
220,01,rs,381 Telenor/Mobtel
220,02,rs,381 Telenor/Mobtel
220,05,rs,381 VIP Mobile
633,10,sc,248 Airtel
633,01,sc,248 C&W
633,02,sc,248 Smartcom
619,03,sl,232 Africel
619,01,sl,232 Airtel/Zain/Celtel
619,04,sl,232 Comium
619,05,sl,232 Africel
619,02,sl,232 Tigo/Millicom
619,25,sl,232 Mobitel
525,12,sg,65 GRID Communications Pte Ltd
525,03,sg,65 MobileOne Ltd
525,02,sg,65 Singtel
525,01,sg,65 Singtel
525,07,sg,65 Singtel
525,06,sg,65 Starhub
525,05,sg,65 Starhub
231,03,sk,421 4Ka
231,06,sk,421 O2
231,01,sk,421 Orange
231,05,sk,421 Orange
231,15,sk,421 Orange
231,02,sk,421 T-Mobile
231,04,sk,421 T-Mobile
231,99,sk,421 Zeleznice Slovenskej republiky (ZSR)
293,41,si,386 Mobitel
293,40,si,386 SI.Mobil
293,10,si,386 Slovenske zeleznice d.o.o.
293,64,si,386 T-2 d.o.o.
293,70,si,386 Telemach/TusMobil/VEGA
540,02,sb,677 bemobile
540,10,sb,677 BREEZE
540,01,sb,677 BREEZE
637,30,so,252 Golis
637,19,so,252 HorTel
637,10,so,252 Nationlink
637,60,so,252 Nationlink
637,04,so,252 Somafone
637,82,so,252 Telcom Mobile Somalia
637,01,so,252 Telesom
655,02,za,27 8.ta
655,21,za,27 Cape Town Metropolitan
655,07,za,27 Cell C
655,12,za,27 MTN
655,10,za,27 MTN
655,06,za,27 Sentech
655,01,za,27 Vodacom
655,19,za,27 Wireless Business Solutions (Pty) Ltd
659,03,ss,Gemtel Ltd (South Sudan
659,02,ss,MTN South Sudan (South Sudan
659,04,ss,Network of The World Ltd (NOW) (South Sudan
659,06,ss,Zain South Sudan (South Sudan
214,23,es,34 Lycamobile SL
214,22,es,34 Digi Spain Telecom SL
214,15,es,34 BT Espana SAU
214,18,es,34 Cableuropa SAU (ONO)
214,08,es,34 Euskaltel SA
214,20,es,34 fonYou Wireless SL
214,21,es,34 Jazz Telecom SAU
214,26,es,34 Lleida
214,25,es,34 Lycamobile SL
214,07,es,34 Movistar
214,05,es,34 Movistar
214,11,es,34 Orange
214,03,es,34 Orange
214,09,es,34 Orange
214,17,es,34 R Cable y Telec. Galicia SA
214,19,es,34 Simyo/KPN
214,16,es,34 Telecable de Asturias SA
214,27,es,34 Truphone
214,01,es,34 Vodafone
214,06,es,34 Vodafone Enabler Espana SL
214,04,es,34 Yoigo
413,05,lk,94 Airtel
413,03,lk,94 Etisalat/Tigo
413,08,lk,94 H3G Hutchison
413,01,lk,94 Mobitel Ltd.
413,02,lk,94 MTN/Dialog
308,01,pm,508 Ameris
360,10,vc,1784 Cingular
360,70,vc,1784 Digicel
634,00,sd,249 Canar Telecom
634,22,sd,249 MTN
634,02,sd,249 MTN
634,07,sd,249 Sudani One
634,15,sd,249 Sudani One
634,08,sd,249 Vivacell
634,05,sd,249 Vivacell
634,01,sd,249 ZAIN/Mobitel
634,06,sd,249 ZAIN/Mobitel
746,03,sr,597 Digicel
746,01,sr,597 Telesur
746,02,sr,597 Telecommunicatiebedrijf Suriname (TELESUR)
746,04,sr,597 UNIQA
653,10,sz,268 Swazi MTN
653,01,sz,268 SwaziTelecom
240,16,se,46 42 Telecom AB
240,35,se,46 42 Telecom AB
240,26,se,46 Beepsend
240,30,se,46 NextGen Mobile Ltd (CardBoardFish)
240,28,se,46 CoolTEL Aps
240,25,se,46 Digitel Mobile Srl
240,22,se,46 Eu Tel AB
240,27,se,46 Fogg Mobile AB
240,18,se,46 Generic Mobile Systems Sweden AB
240,17,se,46 Gotalandsnatet AB
240,02,se,46 H3G Access AB
240,04,se,46 H3G Access AB
240,36,se,46 ID Mobile
240,23,se,46 Infobip Ltd.
240,11,se,46 Lindholmen Science Park AB
240,12,se,46 Lycamobile Ltd
240,29,se,46 Mercury International Carrier Services
240,19,se,46 Mundio Mobile (Sweden) Ltd
240,10,se,46 Spring Mobil AB
240,05,se,46 Svenska UMTS-N
240,14,se,46 TDC Sverige AB
240,07,se,46 Tele2 Sverige AB
240,24,se,46 Telenor (Vodafone)
240,08,se,46 Telenor (Vodafone)
240,06,se,46 Telenor (Vodafone)
240,01,se,46 Telia Mobile
240,13,se,46 Ventelo Sverige AB
240,20,se,46 Wireless Maingate AB
240,15,se,46 Wireless Maingate Nordic AB
228,51,ch,41 BebbiCell AG
228,09,ch,41 Comfone AG
228,05,ch,41 Comfone AG
228,07,ch,41 TDC Sunrise
228,54,ch,41 Lycamobile AG
228,52,ch,41 Mundio Mobile AG
228,03,ch,41 Salt/Orange
228,01,ch,41 Swisscom
228,12,ch,41 TDC Sunrise
228,02,ch,41 TDC Sunrise
228,08,ch,41 TDC Sunrise
228,53,ch,41 upc cablecom GmbH
417,02,sy,963 MTN/Spacetel
417,09,sy,963 Syriatel Holdings
417,01,sy,963 Syriatel Holdings
466,68,tw,886 ACeS Taiwan - ACeS Taiwan Telecommunications Co Ltd
466,05,tw,886 Asia Pacific Telecom Co. Ltd (APT)
466,11,tw,886 Chunghwa Telecom LDM
466,92,tw,886 Chunghwa Telecom LDM
466,03,tw,886 Far EasTone
466,01,tw,886 Far EasTone
466,02,tw,886 Far EasTone
466,07,tw,886 Far EasTone
466,06,tw,886 Far EasTone
466,10,tw,886 Global Mobile Corp.
466,56,tw,886 International Telecom Co. Ltd (FITEL)
466,88,tw,886 KG Telecom
466,93,tw,886 Mobitai
466,99,tw,886 TransAsia
466,97,tw,886 Taiwan Cellular
466,89,tw,886 T-Star/VIBO
466,09,tw,886 VMAX Telecom Co. Ltd
436,04,tk,992 Babilon-M
436,05,tk,992 Bee Line
436,02,tk,992 CJSC Indigo Tajikistan
436,12,tk,992 Tcell/JC Somoncom
436,03,tk,992 MLT/TT mobile
436,01,tk,992 Tcell/JC Somoncom
640,08,tz,255 Benson Informatics Ltd
640,06,tz,255 Dovetel (T) Ltd
640,09,tz,255 ExcellentCom (T) Ltd
640,11,tz,255 Smile Communications Tanzania Ltd
640,07,tz,255 Tanzania Telecommunications Company Ltd (TTCL)
640,02,tz,255 TIGO/MIC
640,01,tz,255 Tri Telecomm. Ltd.
640,04,tz,255 Vodacom Ltd
640,05,tz,255 Airtel/ZAIN/Celtel
640,03,tz,255 Zantel/Zanzibar Telecom
520,20,th,66 ACeS Thailand - ACeS Regional Services Co Ltd
520,15,th,66 ACT Mobile
520,03,th,66 Advanced Wireless Networks/AWN
520,01,th,66 AIS/Advanced Info Service
520,23,th,66 Digital Phone Co.
520,00,th,66 Hutch/CAT CDMA
520,05,th,66 Total Access (DTAC)
520,18,th,66 Total Access (DTAC)
520,04,th,66 True Move/Orange
520,99,th,66 True Move/Orange
